PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0051_01,Earth,0,E/2/S,TRAPPIST-1e,56,0,0,112,0,1379,127,Vivia Johnshines,0
0052_01,Earth,0,G/6/S,TRAPPIST-1e,,0,4,0,2,4683,0,Elaney Hubbarton,0
0053_01,Earth,0,F/11/S,TRAPPIST-1e,25,0,0,0,1938,0,1,Elson Hickerson,1
0056_01,Europa,0,A/1/S,TRAPPIST-1e,2,0,0,0,0,0,0,Okulas Tractive,1
0056_02,Europa,1,A/1/S,TRAPPIST-1e,38,0,0,0,0,0,0,Instab Tractive,1
0056_03,Europa,0,A/1/S,TRAPPIST-1e,27,0,279,605,3374,286,3,Zinoces Tractive,1
0058_01,Earth,1,G/7/S,PSO J318.5-22,36,0,0,0,0,0,0,Warry Ayalazquez,0
0061_01,Earth,0,F/12/S,TRAPPIST-1e,22,0,45,1096,148,1377,1,Shanya Salez,0
0062_01,Earth,0,F/13/S,TRAPPIST-1e,62,0,0,592,0,17,25,Sterry Greeves,0
0064_01,Mars,1,F/14/S,TRAPPIST-1e,15,0,0,0,0,0,0,,1
0064_02,,1,E/3/S,TRAPPIST-1e,33,0,0,0,,0,0,Colatz Keen,1
0066_01,Earth,0,G/6/P,TRAPPIST-1e,62,0,1,153,197,0,460,Diandy Pecketton,0
0067_01,Earth,1,G/10/S,PSO J318.5-22,0,0,0,0,0,0,0,Ninaha Leeves,1
0067_02,Earth,0,G/10/S,TRAPPIST-1e,18,0,1,258,446,0,0,Celine Leeves,1
0067_03,Earth,0,F/15/S,55 Cancri e,21,0,1946,37,0,0,24,Velyne Leeves,0
0068_01,Mars,0,E/4/S,TRAPPIST-1e,,0,793,0,2,253,0,Cinst Binie,0
0069_01,Earth,0,F/16/S,TRAPPIST-1e,42,0,887,0,9,6,0,,1
0070_01,Earth,0,F/13/P,TRAPPIST-1e,19,0,190,0,5,1,726,Meremy Brighttt,0
0071_01,Earth,0,F/14/P,TRAPPIST-1e,17,0,16,2165,0,0,52,Nelly Dillines,0
0072_01,Earth,0,F/17/S,TRAPPIST-1e,14,0,0,1,0,0,1063,Thell Brantuarez,0
0073_01,Mars,0,D/3/P,PSO J318.5-22,37,0,46,83,738,0,12,Gorn Make,0
0074_01,Europa,0,C/3/S,TRAPPIST-1e,42,0,1,8397,0,0,506,Aldibah Mostedry,1
0076_01,Mars,0,F/18/S,TRAPPIST-1e,27,0,147,0,1018,0,0,Conk Dal,1
0077_01,Mars,0,F/15/P,TRAPPIST-1e,28,0,14,0,1295,0,0,Pon Blité,1
0078_01,Europa,0,C/4/S,TRAPPIST-1e,38,0,0,5840,0,321,9654,Spuri Pokerheed,0
0081_01,Earth,1,G/13/S,TRAPPIST-1e,13,0,0,0,0,0,0,Dellie Vinozarks,0
0082_01,Mars,0,F/16/P,TRAPPIST-1e,42,0,7406,0,0,0,0,Totse Datte,0
0082_02,Mars,1,F/16/P,TRAPPIST-1e,2,0,0,0,0,0,0,Eaturs Datte,1
0082_03,Mars,0,F/16/P,TRAPPIST-1e,8,0,0,0,0,0,0,,1
0084_01,Earth,0,G/14/S,TRAPPIST-1e,24,0,688,0,0,0,17,Coren Coopezmaney,1
0085_01,Europa,1,C/5/S,TRAPPIST-1e,40,0,0,0,0,0,0,Furudah Ellcefulve,1
0086_01,Earth,0,F/17/P,TRAPPIST-1e,43,0,211,0,0,638,513,Jodye Kinson,0
0088_01,Mars,1,E/5/S,PSO J318.5-22,45,0,0,0,0,0,0,Stmeal Sacre,1
0090_01,Earth,1,G/15/S,TRAPPIST-1e,35,0,0,0,0,0,0,Heremy Santry,1
0091_01,Earth,1,G/16/S,TRAPPIST-1e,26,0,,0,0,0,0,Deanne Yorkland,1
0091_02,Earth,0,F/20/S,TRAPPIST-1e,27,0,1,697,31,188,0,Tinez Yorkland,0
0092_01,Earth,0,G/9/P,TRAPPIST-1e,19,0,0,0,670,1,34,Gracy Dunnisey,0
0092_02,Earth,1,G/9/P,TRAPPIST-1e,0,0,0,0,,0,0,Stald Hewson,1
0092_03,Earth,1,G/9/P,TRAPPIST-1e,3,0,0,0,0,0,0,Tiney Hewson,1
0097_01,Europa,0,A/2/S,TRAPPIST-1e,54,0,0,1208,0,3,637,Alchium Fictful,0
0098_01,Earth,0,G/11/P,TRAPPIST-1e,26,0,0,856,5,32,0,Doria Carezquez,0
0098_02,Earth,0,G/11/P,TRAPPIST-1e,26,0,0,2811,957,0,87,Leence Carezquez,1
0099_01,Earth,0,F/19/P,PSO J318.5-22,23,0,311,427,526,37,0,Aliey Leetersoney,0
0099_02,Earth,,G/12/P,TRAPPIST-1e,2,0,0,0,0,0,0,Thewis Connelson,1
0101_01,Mars,1,,TRAPPIST-1e,31,0,0,0,0,0,0,Book Trad,1
0102_01,Earth,0,F/23/S,TRAPPIST-1e,18,0,0,0,0,830,91,Ritany Holson,0
0103_01,Earth,0,F/24/S,TRAPPIST-1e,24,0,0,,0,0,17,Arlen Mclainez,1
0103_02,Earth,1,G/18/S,55 Cancri e,9,0,0,0,0,0,0,Shaele Mclainez,1
0103_03,Earth,1,G/18/S,TRAPPIST-1e,6,0,0,0,0,0,0,Fanne Mclainez,0
0105_01,Earth,,F/21/P,TRAPPIST-1e,27,0,0,0,570,2,131,Carry Cleachrand,0
0107_01,Mars,0,D/2/S,TRAPPIST-1e,21,0,1743,5,17,0,0,Coobix Hart,0
0108_01,Earth,1,G/19/S,TRAPPIST-1e,23,0,0,0,0,0,0,Natald Handertiz,0
0108_02,Earth,0,G/19/S,TRAPPIST-1e,31,0,562,0,326,0,0,,0
0108_03,Earth,0,G/19/S,TRAPPIST-1e,0,,0,0,0,0,0,Oline Handertiz,1
0110_01,Europa,0,,TRAPPIST-1e,32,0,0,410,6,3929,764,Graviph Aloubtled,0
0110_02,Europa,,B/5/P,TRAPPIST-1e,40,0,0,331,0,0,1687,Aldeba Bootious,0
0110_03,Europa,0,B/5/P,TRAPPIST-1e,42,0,2209,11418,0,1868,445,Alaratz Aloubtled,1
0110_04,Europa,1,B/5/P,TRAPPIST-1e,28,0,0,0,0,0,0,Izark Aloubtled,1
0111_01,Europa,1,E/6/S,TRAPPIST-1e,29,0,0,0,0,0,0,Aldera Supred,1
0112_01,Europa,0,B/1/S,55 Cancri e,48,1,0,2537,87,17,13,Moth Cowtale,1
0113_01,Earth,0,F/23/P,TRAPPIST-1e,64,0,0,0,804,0,0,Idary Carvis,1
0114_01,Earth,0,G/20/S,TRAPPIST-1e,27,0,82,157,429,238,1,Maura Beckerson,0
0115_01,Mars,,F/24/P,TRAPPIST-1e,26,0,0,0,0,0,,Rohs Pead,1
0116_01,Europa,0,D/4/P,TRAPPIST-1e,33,0,1,2223,0,12,404,Alhenah Suptive,1
0119_01,,0,A/0/P,TRAPPIST-1e,39,0,0,2344,0,65,6898,Batan Coning,0
0119_02,Europa,1,A/0/P,TRAPPIST-1e,13,0,0,0,0,0,0,Kleeiak Coning,1
0120_01,Mars,1,F/25/P,TRAPPIST-1e,24,0,0,0,0,0,,Bees Sacre,1
0122_01,Earth,0,G/21/S,TRAPPIST-1e,29,0,0,0,0,699,74,Shelle Hayder,0
0123_01,Earth,0,F/27/P,TRAPPIST-1e,18,0,55,597,49,0,1,Iree Fielson,0
0126_01,Mars,1,F/27/S,TRAPPIST-1e,67,0,0,0,0,0,0,Milly Mish,1
0127_01,Mars,0,E/7/S,TRAPPIST-1e,35,0,701,0,296,0,25,Miloss Mesty,0
0128_01,Mars,0,D/3/S,TRAPPIST-1e,61,1,2353,334,9,316,2,Grohs Fles,0
0128_02,Mars,0,E/8/S,TRAPPIST-1e,45,0,2103,6,0,0,0,Barave Fles,0
0129_01,Earth,1,G/22/S,PSO J318.5-22,22,0,0,0,,0,0,Race Fowles,1
0133_01,Mars,1,F/29/S,TRAPPIST-1e,19,0,0,0,0,0,0,Flynx Blie,1
0133_02,Mars,0,D/5/S,TRAPPIST-1e,36,0,2738,0,0,0,0,Egrasp Blie,0
0134_01,Earth,0,G/17/P,TRAPPIST-1e,19,0,0,14,730,0,0,Camina Harmontry,1
0136_01,Earth,0,G/23/S,PSO J318.5-22,47,0,97,418,126,25,55,,0
0138_01,Earth,1,G/18/P,TRAPPIST-1e,13,0,0,0,0,0,0,Fayene Gambs,1
0138_02,Earth,0,E/5/P,,34,0,0,22,0,564,207,Monah Gambs,0
0139_01,Europa,1,C/6/S,55 Cancri e,35,0,0,0,0,0,0,Charda Myling,1
0140_01,Earth,1,G/19/P,TRAPPIST-1e,24,0,0,0,0,0,0,Evaley Mejiaddox,1
0140_02,Earth,0,F/29/P,TRAPPIST-1e,26,0,440,0,0,0,462,Verney Whitakers,0
0141_01,Mars,0,F/30/P,TRAPPIST-1e,31,0,,0,97,0,0,Pyrohs Harte,0
0144_01,Earth,0,F/31/S,TRAPPIST-1e,20,0,0,420,210,0,0,Guadae Dayers,1
0146_01,Earth,0,G/25/S,TRAPPIST-1e,56,0,0,0,0,0,0,Verly Wolferguson,0
0147_01,Earth,1,G/26/S,TRAPPIST-1e,50,0,0,0,0,0,0,Samie Hubbarrison,1
0148_01,Mars,0,F/31/P,TRAPPIST-1e,42,0,1072,0,10,0,76,Corsh Pashe,0
0149_01,Earth,1,G/27/S,55 Cancri e,,0,0,0,0,0,0,Billya Hubbarrison,1
0151_01,Earth,1,G/20/P,55 Cancri e,38,0,0,0,0,0,0,Shanie Simson,0
0152_01,Earth,0,F/32/P,,41,0,0,0,0,0,607,Andan Estron,0
0160_01,Earth,0,G/22/P,TRAPPIST-1e,22,0,4119,0,0,0,61,Gory Atkinney,0
0163_01,Europa,1,B/8/P,TRAPPIST-1e,26,0,0,0,0,0,0,Kabiton Hetforhaft,1
0163_02,Europa,1,B/8/P,TRAPPIST-1e,17,0,0,0,0,0,0,Scharab Hetforhaft,1
0164_01,Earth,0,G/28/S,TRAPPIST-1e,57,0,50,1688,0,,135,Fany Hutchinton,1
0164_02,Earth,1,G/28/S,PSO J318.5-22,17,0,0,0,0,0,0,Ianya Hutchinton,0
0165_01,Mars,1,F/37/P,TRAPPIST-1e,35,,0,0,0,0,0,Graven Anche,1
0167_01,Mars,1,F/35/S,TRAPPIST-1e,13,0,0,0,0,0,0,Miten Floaf,1
0167_02,Mars,0,F/35/S,TRAPPIST-1e,27,0,1365,0,48,22,137,Rios Floaf,0
0169_01,Earth,1,G/23/P,TRAPPIST-1e,31,0,0,0,0,0,0,Wandy Fisherry,0
0170_01,Earth,0,E/10/S,TRAPPIST-1e,24,0,0,0,0,221,567,Mollie Mcmahoney,0
0171_01,Earth,1,G/30/S,PSO J318.5-22,19,0,0,0,0,0,0,Coracy Gordanieves,1
0172_01,Earth,1,G/24/P,TRAPPIST-1e,32,0,0,0,0,0,0,Hanna Johnshines,1
0173_01,Earth,,E/11/S,TRAPPIST-1e,58,0,0,985,0,5,0,Hilip Grifford,1
0174_01,Earth,0,F/38/P,55 Cancri e,21,0,287,0,16,115,175,Doryn Lambles,0
0177_01,Europa,0,B/2/S,TRAPPIST-1e,38,0,0,10346,1,14970,2111,Toperon Iniouser,0
0178_01,Mars,0,D/6/S,TRAPPIST-1e,38,0,3414,0,161,28,119,Wees Knik,0
0179_01,Earth,0,G/26/P,TRAPPIST-1e,19,0,1,219,673,2,11,Elaney Webstephrey,1
0179_02,Earth,0,G/26/P,TRAPPIST-1e,0,0,0,0,0,0,0,Raque Webstephrey,0
0179_03,Earth,0,G/26/P,TRAPPIST-1e,3,0,0,0,0,0,0,Sallyl Webstephrey,1
0181_01,Earth,0,G/27/P,TRAPPIST-1e,20,0,0,0,3,299,92,Nancis Brighttt,0
0182_01,Europa,1,C/3/P,TRAPPIST-1e,24,0,0,0,0,0,0,Ksorab Disight,1
0183_01,Earth,0,F/36/S,TRAPPIST-1e,37,0,17,146,426,0,232,Stany Weaves,1
0186_01,Earth,0,G/28/P,TRAPPIST-1e,25,0,62,0,0,0,956,Camiet Shephendry,0
0188_01,Earth,1,G/31/S,TRAPPIST-1e,56,0,0,0,0,0,0,Branda Romez,1
0189_01,Earth,0,E/8/P,55 Cancri e,49,0,84,3,401,202,98,Helly Booters,0
0190_01,Earth,1,G/32/S,55 Cancri e,11,0,0,0,0,0,0,,0
0192_01,Earth,1,G/29/P,TRAPPIST-1e,1,0,0,0,0,0,0,Tance Adavisons,1
0192_02,Earth,0,G/29/P,TRAPPIST-1e,8,0,0,0,0,0,0,Robyny Adavisons,0
0192_03,Earth,0,G/29/P,TRAPPIST-1e,39,0,0,0,10,898,0,Lilace Adavisons,0
0193_01,Mars,1,F/41/P,TRAPPIST-1e,2,0,0,0,0,0,0,Sps Raf,1
0193_02,Mars,0,F/41/P,TRAPPIST-1e,23,0,,0,8,1072,0,Frook Raf,0
0193_03,Mars,0,F/41/P,TRAPPIST-1e,0,0,0,0,0,0,0,Goles Raf,1
0195_01,Mars,0,F/42/P,TRAPPIST-1e,39,0,406,0,867,0,0,Bar Floaf,1
0196_01,Mars,0,D/5/P,PSO J318.5-22,25,0,1052,0,719,0,7,Caper Emead,0
0197_01,Europa,0,C/5/P,TRAPPIST-1e,36,0,0,972,0,795,575,Astrak Dissper,0
0198_01,Earth,,G/30/P,PSO J318.5-22,52,0,0,0,0,0,0,Jeroy Cookson,1
0199_01,Earth,1,G/33/S,TRAPPIST-1e,18,0,0,0,0,0,0,Regana Morrows,0
0200_01,Earth,1,G/31/P,TRAPPIST-1e,15,0,0,0,0,0,0,Elia Colomonson,1
0201_01,Europa,1,B/3/S,TRAPPIST-1e,35,0,0,0,0,0,0,Kaffias Bacistion,1
0201_02,Europa,1,B/3/S,TRAPPIST-1e,47,0,0,0,0,0,0,Edaruma Bacistion,1
0202_01,Europa,1,B/9/P,55 Cancri e,45,0,0,0,0,0,0,Pomera Embleng,1
0202_02,Europa,0,A/2/P,55 Cancri e,,0,0,2433,,878,443,Vegas Embleng,1
0203_01,Europa,1,C/8/S,TRAPPIST-1e,51,0,0,0,0,0,0,Ancham Heateele,1
0205_01,Earth,0,G/34/S,TRAPPIST-1e,29,0,0,2,66,0,705,Carma Oneiles,0
0206_01,Europa,0,C/9/S,55 Cancri e,,0,2,1720,12,1125,122,Nuson Brugashed,1
0207_01,Earth,1,G/32/P,PSO J318.5-22,19,0,0,0,0,0,0,Thony Mcfaddennon,0
0210_01,,1,D/6/P,55 Cancri e,24,0,0,0,,0,0,Arraid Inicont,1
0211_01,Mars,0,F/44/P,TRAPPIST-1e,29,0,902,1,137,0,0,Pebuts Appie,1
0211_02,Mars,1,F/44/P,TRAPPIST-1e,11,0,0,0,0,0,0,Corsh Appie,1
0211_03,Mars,0,F/44/P,TRAPPIST-1e,17,0,848,0,307,182,0,Picers Date,0
0212_01,Earth,0,E/9/P,TRAPPIST-1e,13,0,192,0,0,51,739,Inen Workmans,0
0212_02,Earth,0,F/45/P,TRAPPIST-1e,35,0,147,188,0,10,387,Shally Workmans,0
0213_01,Earth,0,F/46/P,TRAPPIST-1e,21,0,367,281,0,0,146,Carita Navages,0
0216_01,Earth,0,F/40/S,55 Cancri e,21,0,0,56,0,0,1918,Searla Garnes,0
0217_01,Earth,0,F/47/P,TRAPPIST-1e,38,0,1517,0,0,27,0,Prilly Shieldson,0
0219_01,Earth,1,G/36/P,TRAPPIST-1e,19,0,0,0,0,0,0,Nica River,1
0220_01,Earth,1,G/37/P,TRAPPIST-1e,2,0,0,0,0,0,0,Tyle Wilsoney,1
0220_02,Earth,0,G/37/P,TRAPPIST-1e,0,0,0,0,0,0,0,Wena Wilsoney,1
0220_03,Earth,1,G/37/P,TRAPPIST-1e,13,0,0,0,0,0,0,Branca Wilsoney,0
0220_04,Earth,0,E/10/P,TRAPPIST-1e,25,0,122,84,,0,0,Dont Wilsoney,0
0220_05,Earth,0,F/48/P,TRAPPIST-1e,16,0,0,3,0,0,1099,Velyne Wilsoney,0
0220_06,Earth,0,G/37/P,55 Cancri e,1,0,0,0,0,0,0,Weney Wilsoney,0
0220_07,Earth,1,G/37/P,TRAPPIST-1e,15,0,0,0,0,0,0,Guye Wilsoney,1
0221_01,Mars,0,E/13/S,55 Cancri e,21,0,2237,0,119,0,0,Cowhex Blan,0
0221_02,Mars,0,E/13/S,TRAPPIST-1e,23,0,1215,80,1,2,0,Yogark Reke,0
0221_03,Mars,0,E/13/S,TRAPPIST-1e,33,0,1933,12,188,1,0,Jacks Reke,0
0221_04,Mars,1,E/13/S,TRAPPIST-1e,21,0,0,0,0,0,0,Eerch Reke,1
0221_05,Mars,0,E/13/S,TRAPPIST-1e,41,0,1230,0,301,43,1023,Panbug Reke,0
0221_06,Mars,0,E/13/S,TRAPPIST-1e,16,0,915,0,221,234,0,Gran Reke,0
0221_07,Mars,1,E/13/S,TRAPPIST-1e,42,0,0,0,0,0,0,Rohs Reke,0
0222_01,Mars,0,F/41/S,TRAPPIST-1e,20,0,1406,0,0,11,0,Gone Perte,0
0222_02,Mars,1,F/41/S,TRAPPIST-1e,24,0,0,0,0,0,0,Colf Deva,1
0222_03,Mars,1,E/14/S,TRAPPIST-1e,16,0,0,0,0,0,0,Grake Perte,1
0223_01,Earth,0,G/35/S,TRAPPIST-1e,21,0,0,2,665,0,9,Evan Sykess,0
0224_01,Mars,0,F/42/S,TRAPPIST-1e,32,1,181,0,5,1634,0,Blues Queen,0
0225_01,Earth,1,G/38/P,PSO J318.5-22,58,0,0,0,0,0,0,Carly Hortis,1
0229_01,Earth,0,F/43/S,TRAPPIST-1e,24,0,4,7,0,713,79,Done Sellahaney,0
0231_01,Mars,0,F/44/S,TRAPPIST-1e,30,0,85,0,1,1720,0,Krus Nate,0
0232_01,Earth,1,G/36/S,PSO J318.5-22,27,0,0,,0,0,0,Nica Bakerrison,0
0233_01,Mars,0,F/45/S,TRAPPIST-1e,32,0,56,0,256,1438,0,Teda Wist,0
0234_01,Earth,0,F/50/P,TRAPPIST-1e,43,0,,888,0,0,0,Keitha Josey,0
0237_01,Europa,1,B/11/P,TRAPPIST-1e,42,0,0,0,0,0,0,Weias Aginge,1
0239_01,Mars,0,,TRAPPIST-1e,37,0,637,0,0,92,319,Diedow Resty,0
0240_01,Mars,1,F/52/P,TRAPPIST-1e,35,0,0,0,0,0,0,Puffes Crie,1
0241_01,Europa,,E/11/P,55 Cancri e,33,0,0,1249,0,4812,1116,Alas Dischod,0
0242_01,,0,F/46/S,TRAPPIST-1e,18,0,313,1,691,283,0,Almone Sté,0
0243_01,Earth,1,G/37/S,TRAPPIST-1e,21,0,0,0,0,0,0,Lilace Cartyernan,0
0244_01,Mars,1,,TRAPPIST-1e,43,0,0,0,0,0,0,Froos Sad,1
0244_02,Mars,1,F/47/S,55 Cancri e,14,,0,0,0,0,0,Tous Sad,1
0245_01,Europa,0,C/6/P,55 Cancri e,46,0,0,3571,0,0,7,Glueba Repumparte,1
0245_02,Europa,0,C/6/P,TRAPPIST-1e,33,0,0,86,796,584,10912,Anchib Repumparte,0
0246_01,Mars,0,D/8/P,TRAPPIST-1e,21,0,2947,0,287,27,0,Mele Sesa,0
0248_01,Europa,0,C/10/S,TRAPPIST-1e,33,0,0,1,0,8620,1063,Genifi Spanxibus,0
0250_01,Earth,1,G/38/S,PSO J318.5-22,47,0,,0,0,0,0,Camily Kramosley,0
0251_01,,1,C/11/S,55 Cancri e,54,0,0,0,0,0,0,Diphah Amsive,1
0252_01,Earth,0,F/53/P,TRAPPIST-1e,30,0,335,695,541,0,0,Leenny Byerry,0
0253_01,Earth,0,G/42/P,TRAPPIST-1e,29,0,272,615,0,0,1,Dawne Cardner,0
0254_01,Earth,0,F/54/P,TRAPPIST-1e,21,0,702,172,408,2,6,Race Stenson,1
0255_01,Europa,1,A/3/S,TRAPPIST-1e,24,0,0,0,0,0,0,Ashir Mingious,1
0257_01,Mars,0,F/49/S,55 Cancri e,21,0,1664,0,,0,0,Errohs Berte,0
0257_02,Mars,1,F/49/S,TRAPPIST-1e,60,0,0,0,0,0,0,Squars Berte,1
0258_01,Earth,0,F/50/S,TRAPPIST-1e,22,0,0,0,313,299,92,Feryla Cooperkins,0
0260_01,Europa,0,E/16/S,TRAPPIST-1e,26,0,0,4810,0,981,2054,Segino Inderly,0
0261_01,Earth,0,F/56/P,TRAPPIST-1e,26,0,66,29,0,0,803,Dord Bookerson,0
0263_01,Earth,1,G/43/P,TRAPPIST-1e,28,0,0,0,0,0,0,Maen Merkins,1
0265_01,Europa,1,D/8/S,TRAPPIST-1e,39,0,0,0,0,,0,Etair Herpumble,1
0267_01,Earth,0,F/51/S,TRAPPIST-1e,13,0,118,0,0,754,1,Lilace Sancockett,0
0269_01,Earth,0,F/52/S,55 Cancri e,47,0,0,231,592,0,0,Lerome Polliamposs,1
0270_01,Earth,0,F/59/P,TRAPPIST-1e,63,0,0,25,128,0,1240,Cathya Fryersonis,0
0275_01,Europa,1,D/9/S,55 Cancri e,,0,0,0,0,0,0,Terf Obnoble,1
0277_01,Earth,0,F/61/P,55 Cancri e,50,0,44,2390,0,53,0,Byront Mcdanield,1
0278_01,Earth,0,,TRAPPIST-1e,35,0,0,0,0,888,,Judya Beachez,0
0278_02,Earth,0,G/45/P,TRAPPIST-1e,45,0,0,97,0,14,333,Marice Beachez,0
0281_01,Earth,0,F/63/P,TRAPPIST-1e,19,0,0,0,2078,0,0,Derine Pierry,1
0282_01,Earth,0,F/54/S,TRAPPIST-1e,21,0,0,918,0,0,0,Valex Baketton,1
0283_01,Earth,1,G/46/P,PSO J318.5-22,29,0,0,0,0,0,0,Jacky Santin,1
0283_02,Earth,0,F/64/P,TRAPPIST-1e,22,0,146,654,1,0,2,Roydo Santin,1
0285_01,Europa,1,E/16/P,TRAPPIST-1e,14,0,0,0,0,0,0,Krabik Invebodene,1
0285_02,Europa,1,E/16/P,55 Cancri e,42,0,0,0,0,0,0,Grasath Invebodene,1
0286_01,Earth,0,F/65/P,55 Cancri e,57,0,3,1281,29,162,13,Carita Jimes,0
0287_01,Europa,1,,55 Cancri e,39,0,0,0,0,0,0,Tetra Bootty,1
0287_02,Europa,0,B/12/P,TRAPPIST-1e,28,0,0,587,32,6,1460,Alasym Bootty,0
0288_01,Earth,0,F/55/S,55 Cancri e,19,0,0,0,0,0,828,Gory Delez,0
0289_01,Europa,1,C/12/S,55 Cancri e,19,0,0,0,0,0,0,Furuson Objeciane,1
0290_01,Europa,0,B/7/S,55 Cancri e,26,0,0,4458,0,1157,262,Skaton Excialing,1
